locID,locName
1,archery range
2,arts & crafts building room 1
3,arts & crafts building room 2
4,badminton court
5,batting cage
6,buckingham
7,ceramics building
8,driving range
9,glass tower
10,graphic arts
11,hockey court
12,lodge
13,lodge porch left
14,lodge porch right
15,lower d
16,manual arts
17,middle courts
18,music shack
19,office porch
20,pooch
21,rocketry
22,shuffleboard
23,stu/library
24,theater
25,upper courts
26,upper d
27,volleyball court
28,waterfront
29,frolf loc
30,mountain bike shed
31,waterski dock
32,driving range